id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,instrumentalness,language,mood_tags
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,88,2020,0.02,english,uplifting|bright|feelgood
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,72,2020,0.85,instrumental,nostalgic|calm|focus
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,65,2010,0.10,english,aggressive|driving|powerful
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,70,2020,0.90,instrumental,calm|rainy|study
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,80,2020,0.03,english,energetic|hype|workout
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,45,2010,0.95,instrumental,dreamy|spacey|calm
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,55,2000,0.60,english,warm|nostalgic|cozy
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,68,1980,0.40,english,nostalgic|retro|moody
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,66,2020,0.88,instrumental,focus|calm|study
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,74,2010,0.15,english,uplifting|bright|feelgood
11,Concrete Kings,Verse Mason,hip hop,energetic,0.85,95,0.70,0.90,0.08,82,2010,0.05,english,confident|hype|bold
12,Moonlight Sonata Redux,Aria Vale,classical,romantic,0.30,70,0.60,0.20,0.95,40,1980,0.98,instrumental,romantic|elegant|calm
13,Pulse Horizon,Volt Signal,edm,uplifting,0.95,128,0.85,0.92,0.03,85,2020,0.30,english,euphoric|hype|energetic
14,Island Time,Sunny Groove,reggae,playful,0.55,92,0.78,0.75,0.35,60,2000,0.20,english,warm|feelgood|relaxed
15,Iron Verdict,Ashen Crown,metal,dark,0.97,160,0.25,0.40,0.02,58,2010,0.08,english,aggressive|dark|powerful
16,Velvet Hours,Mika Rose,r&b,dreamy,0.50,88,0.65,0.68,0.30,71,2020,0.12,english,romantic|smooth|dreamy
17,Dust and Roads,The Willows,folk,nostalgic,0.40,100,0.55,0.45,0.90,50,2000,0.55,english,nostalgic|warm|acoustic
18,Breakline,Circuit Fox,drum and bass,euphoric,0.93,174,0.70,0.80,0.05,63,2010,0.35,english,euphoric|energetic|driving
